,height,lean angle,width,material,n_struts,E1,E2,E3,weight,cost,reliability,IoP E1,IoP E2,IoP E3,CAC E1,CAC E2,CAC E3,IoP,CAC,value
151,14.0,0.0,90,Titanium,22,0.15531389846934357,1.0558680959737243,2.666666666666666,23.331924000000004,25.6651164,0.9,0.15531389846934338,-0.21205768933291563,2.666666666666666,1.4101106856056316,1.4101106856056318,3.0757362152597136,0.8699742919343646,1.965319195490326,-1.2874976405974867
152,14.0,0.0,90,Titanium,24,0.17215954417262724,1.0858447331485577,3.0,25.453008000000004,27.998308800000004,0.92,0.17215954417262724,-0.20895054921924466,3.0,1.4112345579430479,1.4112345579430479,2.9706037141518222,0.9877363316511275,1.931024276679306,-1.6116920103356753
153,14.0,0.0,90,Titanium,26,0.21582938202718638,1.1635547187381718,3.333333333333334,27.574092000000004,30.3315012,0.96,0.21582938202718616,-0.2017493307817049,3.3333333333333326,1.4820729272521636,1.482072927252164,2.8698687612817437,1.1158044615262712,1.944671538595357,-1.985780423587415
154,14.0,0.0,90,Titanium,28,0.1840131563837078,1.1069381028371692,3.666666666666666,29.695176,32.66469360000001,0.92,0.18401315638370772,-0.2068048437575872,3.666666666666666,1.4484007979797615,1.4484007979797613,2.9902308497998247,1.2146249930975956,1.962344148586449,-2.217853170072674
155,14.0,0.0,90,Titanium,30,0.20083281112060297,1.1368684893794667,4.0,31.816260000000007,34.99788600000001,0.92,0.2008328111206029,-0.20447416363058757,4.0,1.4692115701846624,1.4692115701846629,2.680946807163846,1.3321195491633384,1.8731233158443903,-2.652401936198615
171,14.0,0.0,100,Inconel,10,0.30704854015068306,0.16293909263315395,0.5146330021791328,21.785400000000013,13.071240000000007,0.94,0.30704854015068334,0.009842515062801064,0.5146330021791328,1.4343142099476185,1.4343142099476192,4.196836547553562,0.27717468579753907,2.3551549891495998,0.5237327390631329
172,14.0,0.0,100,Inconel,12,0.32962991817935555,0.18303074682072007,0.8123032185050052,26.14248000000001,15.685488000000005,0.88,0.32962991817935566,0.012784194955998094,0.812303218505005,1.4193940066716046,1.4193940066716038,3.5832388191845057,0.3849057772134529,2.1406756108425715,0.10935975423840105
173,14.0,0.0,100,Inconel,14,0.279866833834295,0.13875432220668077,1.1197322250627237,30.49956000000002,18.29973600000001,0.82,0.2798668338342951,0.00861475559963285,1.1197322250627235,1.4557744817221454,1.4557744817221454,3.224447934289046,0.46940460483221713,2.045332299244446,-0.21094528286957556
174,14.0,0.0,100,Inconel,16,0.33176043547560197,0.1849263626109725,1.4239418363785552,34.85664000000002,20.91398400000001,0.94,0.3317604354756022,0.012486451218992868,1.4239418363785552,1.4901040807562735,1.490104080756274,3.1079929296201896,0.5893962410243835,2.0294003637109124,-0.5493096985960864
175,14.0,0.0,100,Inconel,18,0.2976350359849822,0.15456348020815822,1.7139101716143714,39.21372000000002,23.528232000000017,0.98,0.2976350359849824,0.008366562012272427,1.7139101716143716,1.3924321436657272,1.3924321436657252,3.0183038781223552,0.6733039232038754,1.9343893884846028,-0.7579858855026468
176,14.0,0.0,100,Inconel,20,0.32858513940898926,0.18210116078172559,2.014614244448707,43.57080000000003,26.142480000000013,0.98,0.32858513940898953,0.011604660578189692,2.014614244448707,1.4546988867965183,1.4546988867965178,2.9974296119221933,0.7849346814786288,1.9689424618384097,-1.0564728519969189
177,14.0,0.0,100,Inconel,22,0.3038398980736405,0.16008422137854061,2.3210268375104963,47.92788000000003,28.756728000000017,0.86,0.3038398980736407,0.010872120118420541,2.3210268375104963,1.4637472741075663,1.463747274107566,2.989653669154151,0.8785796185675192,1.9723827391230941,-1.3293395819880862
178,14.0,0.0,100,Inconel,24,0.3129206348361678,0.16816375587680543,2.6099256714189045,52.28496000000002,31.37097600000001,0.84,0.3129206348361679,0.011984216195636086,2.609925671418904,1.469770770385396,1.469770770385396,2.852210933975156,0.9782768408169028,1.9305841582486494,-1.6231948957874947
179,14.0,0.0,100,Inconel,26,0.33712195903698094,0.18969674806649856,2.929319702707334,56.64204000000004,33.98522400000002,0.84,0.3371219590369811,0.014169088517070438,2.929319702707333,1.5004522478933118,1.5004522478933118,2.7536688127387907,1.093536916753795,1.9181911028418046,-1.9494879013393591
180,14.0,0.0,100,Inconel,28,0.2949589614996325,0.15218245797507995,3.2283661279520497,60.99912000000004,36.59947200000002,0.84,0.29495896149963263,0.009814285734739126,3.2283661279520492,1.4626240875431524,1.4626240875431527,3.03152502574114,1.1777131250621402,1.9855910669424819,-2.115197281060847
181,14.0,0.0,100,Inconel,30,0.28045159324919366,0.13927460860958096,3.542099149929547,65.35620000000006,39.21372000000002,0.94,0.28045159324919394,0.008277788340234848,3.5420991499295473,1.343924174037377,1.3439241740373764,2.7350812948063385,1.2769428438396588,1.8076432142936973,-2.4427933889233975
183,14.0,0.0,100,Titanium,8,0.3075426524215013,1.0940817072483262,0.33333333333333326,9.427040000000003,10.369744000000004,1.0,0.3075426524215014,-0.2080234505029495,0.3333333333333335,1.5138922027906938,1.513892202790695,2.212720251844866,0.14428417841729513,1.7468348858087515,-0.08002127593375402
184,14.0,0.0,100,Titanium,10,0.3513804949183729,1.164289760414258,0.6666666666666665,11.783800000000006,12.962180000000005,1.0,0.3513804949183731,-0.2012513572172962,0.666666666666667,1.7190601688369913,1.7190601688369906,2.9785398445302387,0.2722652681225813,2.1388867274014065,-0.1404643507763687
185,14.0,0.0,100,Titanium,12,0.31941977130971194,1.1131033868490292,1.0,14.140560000000008,15.554616000000008,1.0,0.31941977130971194,-0.20677532341175067,1.0,1.4071209476191031,1.4071209476191033,2.5991468465462897,0.3708814826326538,1.8044629139281654,-0.3097649007869923
186,14.0,0.0,100,Titanium,14,0.2908458507085417,1.0673411133779016,1.333333333333333,16.497320000000006,18.14705200000001,1.0,0.2908458507085418,-0.21198263915768709,1.333333333333334,1.4142983411606664,1.4142983411606664,2.489962867926983,0.4707321816280629,1.7728531834161052,-0.550622962361269
187,14.0,0.0,100,Titanium,16,0.3099025079416134,1.0978611099831155,1.666666666666667,18.854080000000007,20.73948800000001,1.0,0.30990250794161345,-0.20814367444149337,1.6666666666666663,1.4771469974446125,1.4771469974446125,2.4316810750809332,0.5894751667222621,1.795325023323386,-0.8567126658146251
188,14.0,0.0,100,Titanium,18,0.3075342630348926,1.0940682713110739,2.0,21.210840000000008,23.33192400000001,1.0,0.30753426303489273,-0.20819227474228935,2.0000000000000004,1.425240050826777,1.4252400508267768,2.331776965319547,0.6997806627642013,1.7274190223243668,-1.1763337330203283
